City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Birjand,0,IR,1561607154,13,59.22,59.22,71.6,4.7
Sao Filipe,0,CV,1561607154,85,-24.5,-24.5,74.21,21.32
Karratha,69,AU,1561607154,37,116.85,116.85,77.45,5.48
Lerwick,98,GB,1561607154,87,-1.15,-1.15,50.0,19.46
Nsanje,2,MZ,1561607155,97,35.26,35.26,58.01,2.51
Aquiraz,75,BR,1561607155,65,-38.39,-38.39,80.6,12.75
Kingsport,1,US,1561606924,82,-82.56,-82.56,72.0,2.66
Udachnyy,0,RU,1561607155,47,112.4,112.4,77.0,6.71
Sonoita,1,US,1561607155,19,-110.66,-110.66,93.2,12.75
Harnai,0,PK,1561607156,26,67.94,67.94,88.07,4.32
Sorland,100,NO,1561607156,73,12.69,12.69,46.85,18.03
Sidney,1,US,1561607156,73,-84.16,-84.16,79.0,3.36
Kalemie,1,CD,1561607157,60,29.2,29.2,63.41,3.11
Pingliang,100,CN,1561607157,91,106.68,106.68,58.01,8.1
Gusau,75,NG,1561607158,85,6.66,6.66,74.57,14.14
Bereda,0,ES,1561607159,93,-7.54,-7.54,62.01,2.62
Balkanabat,0,TM,1561607159,23,54.36,54.36,92.39,5.37
Sept-Iles,90,CA,1561607159,93,-66.38,-66.38,55.4,9.17
Soledade,40,BR,1561607160,94,-36.37,-36.37,69.8,2.24
Ivanteyevka,40,RU,1561607161,100,37.92,37.92,57.2,8.95
Saint George,20,GR,1561607161,61,22.34,22.34,78.01,1.79
Aranos,57,NA,1561607162,32,19.11,19.11,50.81,9.46
Porto Walter,1,BR,1561607162,83,-72.74,-72.74,72.77,1.9
Dutse,76,NG,1561607162,63,9.34,9.34,80.51,11.18
Ilebo,10,CD,1561607162,62,20.59,20.59,67.73,1.3
Nishihara,75,JP,1561607163,65,139.53,139.53,84.99,9.17
Portland,90,US,1561606503,82,-70.25,-70.25,66.0,1.1
Penzance,36,GB,1561607163,87,-5.53,-5.53,64.0,31.09
Teguise,0,ES,1561607163,73,-13.56,-13.56,69.8,8.05
Chernitsyno,0,RU,1561607164,63,36.05,36.05,66.2,6.71
Terra Santa,90,BR,1561607164,90,-56.49,-56.49,74.93,2.86
Todos Santos,5,MX,1561607166,18,-110.23,-110.23,91.4,6.93
Aksarka,100,RU,1561607167,53,67.8,67.8,50.09,3.06
La Reforma,40,MX,1561607168,48,-108.06,-108.06,86.0,9.17
Synya,100,RU,1561607169,60,58.04,58.04,54.05,5.95
Sola,100,TZ,1561607169,69,33.8,33.8,67.73,4.03
Sayyan,100,YE,1561607170,42,44.32,44.32,75.83,1.57
Ballina,0,IE,1561607170,99,-9.15,-9.15,55.0,20.67
Alofi,75,NU,1561606894,73,-169.92,-169.92,77.0,13.87
Szob,0,HU,1561607170,100,18.87,18.87,75.0,2.24
Port Moresby,90,PG,1561607170,83,147.16,147.16,82.4,19.46
Pechenga,2,RU,1561607171,81,41.46,41.46,47.93,2.84
Garden City,1,US,1561607171,14,-116.24,-116.24,82.4,11.41
Sao Joao da Barra,1,BR,1561607171,84,-41.05,-41.05,69.53,2.51
Roebourne,32,AU,1561607172,25,117.15,117.15,77.81,3.38
Taunggyi,90,MM,1561607173,67,97.03,97.03,78.17,9.64
Cibitoke,79,BI,1561607173,71,29.12,29.12,62.33,0.63
Ludwigsfelde,40,DE,1561607174,72,13.26,13.26,64.0,12.75
Bubaque,99,GW,1561607174,78,-15.83,-15.83,79.79,11.25
Samfya,0,ZM,1561607174,90,29.56,29.56,49.73,4.36
Newport,90,GB,1561607040,93,-3.0,-3.0,55.99,23.04
Gunjur,0,GM,1561607175,88,-16.76,-16.76,77.0,6.93
Port-Gentil,16,GA,1561607175,75,8.78,8.78,76.01,10.56
Karpogory,100,RU,1561607175,58,44.44,44.44,54.23,4.36
Anqing,100,CN,1561607176,53,117.04,117.04,88.79,5.37
Walvis Bay,95,NA,1561607176,82,14.51,14.51,59.0,11.41
Hobyo,34,SO,1561607176,71,48.53,48.53,76.73,21.63
Padang,23,ID,1561607176,73,100.36,100.36,81.59,4.5
Clyde River,90,CA,1561607176,64,-68.59,-68.59,32.0,10.29
Saquena,0,PE,1561607177,91,-73.52,-73.52,73.49,2.35
Necochea,63,AR,1561607177,55,-58.74,-58.74,48.99,11.99
Raudeberg,75,NO,1561607104,81,5.14,5.14,51.8,4.7
Rome,0,IT,1561606906,44,12.48,12.48,78.8,8.05
Bonavista,28,CA,1561607178,84,-53.11,-53.11,43.0,5.01
Alibag,75,IN,1561607178,88,72.88,72.88,82.4,5.82
Roald,93,NO,1561607178,93,6.12,6.12,50.0,3.36
Oranjemund,0,ZA,1561607133,77,16.43,16.43,54.95,4.38
Mayo,20,CA,1561607179,28,-135.9,-135.9,69.8,3.36
Shahabad,48,IN,1561607180,71,76.94,76.94,81.23,16.4
Kango,28,GA,1561607181,91,10.1,10.1,67.73,0.4
Umri,0,IN,1561607181,17,76.91,76.91,101.21,8.23
Nizwa,56,OM,1561607181,49,57.53,57.53,79.97,2.59
Ukiah,75,US,1561607097,55,-123.21,-123.21,64.99,11.41
Klyuchevskiy,100,RU,1561607182,68,119.45,119.45,64.67,5.82
Constitucion,5,MX,1561607040,15,-104.67,-104.67,78.8,10.29
Tucuman,0,PE,1561607182,34,-70.89,-70.89,50.45,3.96
Port Hawkesbury,100,CA,1561607183,81,-61.36,-61.36,55.0,5.82
Ancona,1,US,1561607183,88,-88.87,-88.87,79.0,2.86
Kangaatsiaq,0,GL,1561607183,77,-53.46,-53.46,39.83,15.82
Mmabatho,0,ZA,1561607183,81,25.61,25.61,50.0,11.41
Quchan,0,IR,1561607184,21,58.51,58.51,71.51,5.82
La Tuque,100,CA,1561607051,98,-72.79,-72.79,60.17,5.17
Henties Bay,99,NA,1561607082,88,14.28,14.28,57.0,5.99
Laguna,90,BZ,1561607184,94,-88.94,-88.94,77.0,6.93
Saint-Augustin,20,CA,1561607184,83,-73.98,-73.98,71.6,8.05
Sabinas Hidalgo,32,MX,1561607185,73,-100.18,-100.18,77.27,3.47
Cuiluan,100,CN,1561607185,95,128.65,128.65,52.43,12.01
Sinnamary,92,GF,1561607185,85,-52.96,-52.96,79.43,18.21
Dod Ballapur,40,IN,1561607185,83,77.54,77.54,80.01,18.34
Dalvik,6,SE,1561607185,100,14.13,14.13,59.0,3.36
Morant Bay,20,JM,1561607186,66,-76.41,-76.41,84.2,3.36
Rolla,1,US,1561607186,83,-91.77,-91.77,73.0,6.93
Tual,24,ID,1561607186,83,132.75,132.75,78.35,21.63
Boa Vista,0,BR,1561607030,78,-60.67,-60.67,78.8,8.05
Neiafu,40,TO,1561607072,73,-173.98,-173.98,77.0,9.17
Kirakira,100,SB,1561607135,80,161.92,161.92,82.85,6.51
Sokolo,7,ML,1561607188,31,-6.12,-6.12,92.57,13.73
Inhambane,0,MZ,1561607045,96,35.38,35.38,59.63,2.08
Jizan,40,SA,1561607188,59,42.56,42.56,91.4,5.82
Mauganj,0,IN,1561607188,48,81.88,81.88,93.29,11.77
Acacoyagua,75,MX,1561607188,94,-92.68,-92.68,78.8,2.26
Cardston,90,CA,1561607188,82,-113.32,-113.32,66.99,8.5
Port Blair,100,IN,1561606907,82,92.75,92.75,84.29,19.91
Pastavy,67,BY,1561607189,95,26.84,26.84,66.47,8.75
Nijar,20,ES,1561607189,83,-2.21,-2.21,73.4,2.24
Borogontsy,0,RU,1561607189,30,131.17,131.17,78.35,4.45
Vangaindrano,36,MG,1561607190,94,47.6,47.6,62.69,4.74
Bluefield,1,US,1561606986,77,-81.22,-81.22,70.0,5.82
Waitati,0,NZ,1561607190,68,170.57,170.57,53.51,7.07
Sarkand,0,KZ,1561606903,22,79.91,79.91,82.85,6.96
Kurilsk,100,RU,1561607190,93,147.88,147.88,45.41,15.39
Mitsamiouli,20,KM,1561607191,73,43.28,43.28,71.6,8.05
Toora-Khem,85,RU,1561607191,75,96.11,96.11,57.47,5.86
Tahe,97,CN,1561607191,32,124.71,124.71,70.07,10.38
Muskogee,1,US,1561607191,83,-95.37,-95.37,82.4,8.05
Greensburg,1,US,1561607191,88,-90.67,-90.67,82.4,5.97
Broken Hill,0,AU,1561607192,37,141.45,141.45,68.0,14.99
Mercedes,67,UY,1561607192,75,-58.03,-58.03,46.67,13.35
Les Cayes,24,HT,1561607192,82,-73.75,-73.75,81.95,14.05
Borovskoy,100,KZ,1561607192,78,64.15,64.15,54.95,7.09
Bexhill,0,GB,1561607193,93,0.47,0.47,59.0,19.46
Torbat-e Jam,0,IR,1561607193,11,60.63,60.63,79.07,12.86
Nokaneng,0,BW,1561607193,47,22.19,22.19,53.15,4.65
Menongue,0,AO,1561607193,56,17.68,17.68,49.37,4.03
Simao,42,CN,1561607194,55,100.79,100.79,83.21,2.13
Qasigiannguit,0,GL,1561607194,80,-51.19,-51.19,41.0,6.93
San Juan,11,AR,1561607195,25,-68.53,-68.53,45.95,9.01
Veinticinco de Mayo,0,AR,1561607195,90,-54.75,-54.75,38.93,1.95
Port Arthur,1,US,1561607111,94,-93.93,-93.93,81.0,4.5
Lodja,50,CD,1561607195,82,23.6,23.6,71.33,2.35
Andapa,10,MG,1561607196,97,49.65,49.65,56.75,3.74
Monsefu,0,PE,1561607196,29,-79.87,-79.87,66.2,14.99
Tinaogan,100,PH,1561607196,62,124.98,124.98,86.81,6.67
Mogadishu,56,SO,1561607196,81,45.34,45.34,74.57,12.82
Skibbereen,0,IE,1561607118,87,-9.27,-9.27,59.0,12.75
Jiuquan,100,CN,1561607196,44,98.49,98.49,65.93,13.6
Rio Gallegos,75,AR,1561607079,86,-69.22,-69.22,26.6,12.75
Anda,98,CN,1561607197,59,125.33,125.33,76.55,9.42
Cantagallo,94,CO,1561607197,73,-73.91,-73.91,78.17,2.48
Coquimbo,0,CL,1561607197,76,-71.34,-71.34,52.0,4.7
Faya,0,SA,1561606918,35,42.45,42.45,69.8,0.87
Santa Fe,0,AR,1561607198,63,-60.7,-60.7,48.0,4.0
Angoram,100,PG,1561607198,53,144.07,144.07,92.75,1.77
Sandovo,60,RU,1561607198,81,36.41,36.41,53.15,3.56
Komsomolskiy,100,RU,1561607198,74,63.78,63.78,46.13,8.03
Camacha,20,PT,1561607199,77,-16.33,-16.33,66.2,11.41
Poya,100,NC,1561607199,90,165.16,165.16,70.43,17.16
Bucerias,90,MX,1561607127,83,-105.33,-105.33,84.99,4.7
Shahr-e Babak,0,IR,1561607199,22,55.12,55.12,82.49,13.33
Loa Janan,90,ID,1561607199,60,117.09,117.09,87.53,5.06
Scottsbluff,1,US,1561607200,60,-103.67,-103.67,69.8,13.87
Lubango,0,AO,1561607200,82,13.49,13.49,51.89,1.88
Juneau,75,US,1561607121,39,-134.42,-134.42,78.8,5.82
Alikalia,100,SL,1561607200,98,-11.39,-11.39,70.97,2.53
Hay River,90,CA,1561607119,82,-115.79,-115.79,55.4,4.7
Kautokeino,54,NO,1561607044,69,23.04,23.04,47.03,12.88
Las Vegas,1,US,1561606932,8,-115.15,-115.15,93.2,17.22
Tungor,66,RU,1561607201,82,142.95,142.95,44.69,20.47
Comodoro Rivadavia,40,AR,1561607201,87,-67.48,-67.48,44.6,8.05
Cabedelo,0,BR,1561607201,100,-34.84,-34.84,71.6,4.7
Bluefields,59,NI,1561607201,98,-83.77,-83.77,75.29,2.48
Cascais,20,PT,1561607201,100,-9.42,-9.42,61.0,1.12
Whitehorse,90,CA,1561607063,67,-135.06,-135.06,62.01,6.93
San Quintin,99,PH,1561607202,66,120.52,120.52,86.09,4.81
Gulu,0,UG,1561607202,95,32.3,32.3,63.59,0.65
Nouadhibou,0,MR,1561607202,68,-17.03,-17.03,71.6,24.16
Dzhebariki-Khaya,0,RU,1561607202,31,135.8,135.8,79.25,4.29
Igurubi,98,TZ,1561607203,70,33.71,33.71,66.47,6.2
Matagami,87,NG,1561607203,99,8.4,8.4,67.55,1.81
Esso,96,RU,1561607108,60,158.7,158.7,49.19,7.52
Saint-Louis,0,SN,1561607203,88,-16.5,-16.5,78.8,11.41
Vardo,1,US,1561607146,77,-77.74,-77.74,77.0,1.81
Sharjah,20,AE,1561607097,41,55.39,55.39,96.8,9.17
Mehamn,100,NO,1561607204,81,27.85,27.85,48.2,17.22
Arkhangelsk,40,RU,1561607204,76,40.54,40.54,55.4,4.47
Ciudad Bolivar,5,VE,1561607204,74,-63.55,-63.55,78.71,11.25
